file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 1 best cost: 63, time: 999.873 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 2 best cost: 63, time: 999.876 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 3 best cost: 63, time: 999.867 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 4 best cost: 63, time: 999.881 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 5 best cost: 63, time: 999.893 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 6 best cost: 63, time: 999.871 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 7 best cost: 63, time: 999.884 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 8 best cost: 63, time: 999.883 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh2.txt Thread 9 best cost: 63, time: 999.871 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 0 best cost: 14, time: 999.944 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 1 best cost: 14, time: 999.956 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 2 best cost: 14, time: 999.959 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 3 best cost: 14, time: 999.911 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 4 best cost: 14, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 5 best cost: 14, time: 999.928 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 6 best cost: 14, time: 999.964 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 7 best cost: 14, time: 999.93 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 8 best cost: 14, time: 999.96 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrf4.txt Thread 9 best cost: 14, time: 999.903 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 0 best cost: 166, time: 999.958 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 1 best cost: 166, time: 999.953 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 2 best cost: 166, time: 999.956 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 3 best cost: 166, time: 999.952 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 4 best cost: 166, time: 999.952 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 5 best cost: 166, time: 999.956 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 6 best cost: 166, time: 999.952 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 7 best cost: 166, time: 999.956 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 8 best cost: 166, time: 999.954 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg3.txt Thread 9 best cost: 166, time: 999.956 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 0 best cost: 168, time: 999.948 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 1 best cost: 168, time: 999.948 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 2 best cost: 168, time: 999.944 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 3 best cost: 168, time: 999.949 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 4 best cost: 168, time: 999.951 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 5 best cost: 168, time: 999.946 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 6 best cost: 168, time: 999.949 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 7 best cost: 168, time: 999.954 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 8 best cost: 168, time: 999.946 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrg5.txt Thread 9 best cost: 168, time: 999.951 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 0 best cost: 58, time: 999.92 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 1 best cost: 58, time: 999.921 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 2 best cost: 58, time: 999.929 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 3 best cost: 58, time: 999.931 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 4 best cost: 58, time: 999.913 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 5 best cost: 58, time: 999.914 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 6 best cost: 58, time: 999.907 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 7 best cost: 58, time: 999.925 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 8 best cost: 58, time: 999.916 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnrh4.txt Thread 9 best cost: 58, time: 999.915 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 0 best cost: 28, time: 999.936 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 1 best cost: 28, time: 999.957 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 2 best cost: 28, time: 999.951 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 3 best cost: 28, time: 999.959 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 4 best cost: 28, time: 999.94 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 5 best cost: 28, time: 999.959 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 6 best cost: 28, time: 999.943 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 7 best cost: 28, time: 999.943 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 8 best cost: 28, time: 999.961 seconds
file: /home/wyy/benchmark/SCP/OR-Large/scpnre4.txt Thread 9 best cost: 28, time: 999.935 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 0 best cost: 293, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 1 best cost: 293, time: 999.998 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 2 best cost: 293, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 3 best cost: 293, time: 999.998 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 4 best cost: 293, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 5 best cost: 293, time: 999.997 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 6 best cost: 293, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 7 best cost: 293, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 8 best cost: 293, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp57.txt Thread 9 best cost: 293, time: 999.998 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 0 best cost: 492, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 1 best cost: 492, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 2 best cost: 492, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 3 best cost: 492, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 4 best cost: 492, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 5 best cost: 492, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 6 best cost: 492, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 7 best cost: 492, time: 999.998 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 8 best cost: 492, time: 999.998 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp48.txt Thread 9 best cost: 492, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 0 best cost: 5, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 1 best cost: 5, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 2 best cost: 5, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 3 best cost: 5, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 4 best cost: 5, time: 1000.01 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 5 best cost: 5, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 6 best cost: 5, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 7 best cost: 5, time: 1000.01 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 8 best cost: 5, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpe5.txt Thread 9 best cost: 5, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 0 best cost: 69, time: 999.988 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 1 best cost: 69, time: 999.99 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 2 best cost: 69, time: 999.988 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 3 best cost: 69, time: 999.988 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 4 best cost: 69, time: 999.988 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 5 best cost: 69, time: 999.987 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 6 best cost: 69, time: 999.988 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 7 best cost: 69, time: 999.99 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 8 best cost: 69, time: 999.986 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scpb1.txt Thread 9 best cost: 69, time: 999.99 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp44.txt Thread 0 best cost: 494, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp44.txt Thread 1 best cost: 494, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp44.txt Thread 2 best cost: 494, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp44.txt Thread 3 best cost: 494, time: 999.999 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp44.txt Thread 4 best cost: 494, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp44.txt Thread 5 best cost: 494, time: 1000 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp44.txt Thread 6 best cost: 494, time: 999.998 seconds
file: /home/wyy/benchmark/SCP/OR-Small/scp44.txt Thread 7 best cost: 494, time: 999.999 seconds
